date,value,realtime_start,realtime_end
1993-01-01,7240,2019-04-09,2019-04-09
1993-02-01,7470,2019-04-09,2019-04-09
1993-03-01,8127,2019-04-09,2019-04-09
1993-04-01,9648,2019-04-09,2019-04-09
1993-05-01,10285,2019-04-09,2019-04-09
1993-06-01,12000,2019-04-09,2019-04-09
1993-07-01,12379,2019-04-09,2019-04-09
1993-08-01,13320,2019-04-09,2019-04-09
1993-09-01,13547,2019-04-09,2019-04-09
1993-10-01,11947,2019-04-09,2019-04-09
1993-11-01,11317,2019-04-09,2019-04-09
1993-12-01,10082,2019-04-09,2019-04-09
1994-01-01,7939,2019-04-09,2019-04-09
1994-02-01,7763,2019-04-09,2019-04-09
1994-03-01,8446,2019-04-09,2019-04-09
1994-04-01,9244,2019-04-09,2019-04-09
1994-05-01,10673,2019-04-09,2019-04-09
1994-06-01,12280,2019-04-09,2019-04-09
1994-07-01,12843,2019-04-09,2019-04-09
1994-08-01,13788,2019-04-09,2019-04-09
1994-09-01,13632,2019-04-09,2019-04-09
1994-10-01,12771,2019-04-09,2019-04-09
1994-11-01,11147,2019-04-09,2019-04-09
1994-12-01,9895,2019-04-09,2019-04-09
1995-01-01,8426,2019-04-09,2019-04-09
1995-02-01,8175,2019-04-09,2019-04-09
1995-03-01,9310,2019-04-09,2019-04-09
1995-04-01,10320,2019-04-09,2019-04-09
1995-05-01,11876,2019-04-09,2019-04-09
1995-06-01,13225,2019-04-09,2019-04-09
1995-07-01,13171,2019-04-09,2019-04-09
1995-08-01,14752,2019-04-09,2019-04-09
1995-09-01,14635,2019-04-09,2019-04-09
1995-10-01,13733,2019-04-09,2019-04-09
1995-11-01,12229,2019-04-09,2019-04-09
1995-12-01,10159,2019-04-09,2019-04-09
1996-01-01,9282,2019-04-09,2019-04-09
1996-02-01,8658,2019-04-09,2019-04-09
1996-03-01,9485,2019-04-09,2019-04-09
1996-04-01,11143,2019-04-09,2019-04-09
1996-05-01,12871,2019-04-09,2019-04-09
1996-06-01,13215,2019-04-09,2019-04-09
1996-07-01,14159,2019-04-09,2019-04-09
1996-08-01,14691,2019-04-09,2019-04-09
1996-09-01,15406,2019-04-09,2019-04-09
