date,value,realtime_start,realtime_end
1993-01-01,113906,2019-04-09,2019-04-09
1993-02-01,119243,2019-04-09,2019-04-09
1993-03-01,119772,2019-04-09,2019-04-09
1993-04-01,126908,2019-04-09,2019-04-09
1993-05-01,121634,2019-04-09,2019-04-09
1993-06-01,129212,2019-04-09,2019-04-09
1993-07-01,129298,2019-04-09,2019-04-09
1993-08-01,130039,2019-04-09,2019-04-09
1993-09-01,131983,2019-04-09,2019-04-09
1993-10-01,126606,2019-04-09,2019-04-09
1993-11-01,132425,2019-04-09,2019-04-09
1993-12-01,137897,2019-04-09,2019-04-09
1994-01-01,126467,2019-04-09,2019-04-09
1994-02-01,124573,2019-04-09,2019-04-09
1994-03-01,125942,2019-04-09,2019-04-09
1994-04-01,123666,2019-04-09,2019-04-09
1994-05-01,125991,2019-04-09,2019-04-09
1994-06-01,131725,2019-04-09,2019-04-09
1994-07-01,133537,2019-04-09,2019-04-09
1994-08-01,133205,2019-04-09,2019-04-09
1994-09-01,132130,2019-04-09,2019-04-09
1994-10-01,135310,2019-04-09,2019-04-09
1994-11-01,131047,2019-04-09,2019-04-09
1994-12-01,135129,2019-04-09,2019-04-09
1995-01-01,132958,2019-04-09,2019-04-09
1995-02-01,130106,2019-04-09,2019-04-09
1995-03-01,135758,2019-04-09,2019-04-09
1995-04-01,137352,2019-04-09,2019-04-09
1995-05-01,139811,2019-04-09,2019-04-09
1995-06-01,142949,2019-04-09,2019-04-09
1995-07-01,137475,2019-04-09,2019-04-09
1995-08-01,144003,2019-04-09,2019-04-09
1995-09-01,142569,2019-04-09,2019-04-09
1995-10-01,143657,2019-04-09,2019-04-09
1995-11-01,143817,2019-04-09,2019-04-09
1995-12-01,140236,2019-04-09,2019-04-09
1996-01-01,147112,2019-04-09,2019-04-09
1996-02-01,138716,2019-04-09,2019-04-09
1996-03-01,140166,2019-04-09,2019-04-09
1996-04-01,148123,2019-04-09,2019-04-09
1996-05-01,152967,2019-04-09,2019-04-09
1996-06-01,144131,2019-04-09,2019-04-09
1996-07-01,147315,2019-04-09,2019-04-09
1996-08-01,144095,2019-04-09,2019-04-09
1996-09-01,149634,2019-04-09,2019-04-09
1996-10-01,150834,2019-04-09,2019-04-09
1996-11-01,151214,2019-04-09,2019-04-09
1996-12-01,144846,2019-04-09,2019-04-09
1997-01-01,144713,2019-04-09,2019-04-09
1997-02-01,150267,2019-04-09,2019-04-09
1997-03-01,153274,2019-04-09,2019-04-09
1997-04-01,152649,2019-04-09,2019-04-09
1997-05-01,153063,2019-04-09,2019-04-09
1997-06-01,154500,2019-04-09,2019-04-09
1997-07-01,156978,2019-04-09,2019-04-09
1997-08-01,155647,2019-04-09,2019-04-09
1997-09-01,153056,2019-04-09,2019-04-09
1997-10-01,157106,2019-04-09,2019-04-09
1997-11-01,152798,2019-04-09,2019-04-09
1997-12-01,154442,2019-04-09,2019-04-09
1998-01-01,149499,2019-04-09,2019-04-09
1998-02-01,147429,2019-04-09,2019-04-09
1998-03-01,147093,2019-04-09,2019-04-09
1998-04-01,150464,2019-04-09,2019-04-09
1998-05-01,146590,2019-04-09,2019-04-09
1998-06-01,158157,2019-04-09,2019-04-09
1998-07-01,160167,2019-04-09,2019-04-09
1998-08-01,155684,2019-04-09,2019-04-09
1998-09-01,159734,2019-04-09,2019-04-09
1998-10-01,158208,2019-04-09,2019-04-09
1998-11-01,156912,2019-04-09,2019-04-09
1998-12-01,160793,2019-04-09,2019-04-09
1999-01-01,159954,2019-04-09,2019-04-09
1999-02-01,167072,2019-04-09,2019-04-09
1999-03-01,167195,2019-04-09,2019-04-09
1999-04-01,167681,2019-04-09,2019-04-09
1999-05-01,164689,2019-04-09,2019-04-09
1999-06-01,166830,2019-04-09,2019-04-09
1999-07-01,169934,2019-04-09,2019-04-09
1999-08-01,168741,2019-04-09,2019-04-09
1999-09-01,168889,2019-04-09,2019-04-09
1999-10-01,170663,2019-04-09,2019-04-09
1999-11-01,177472,2019-04-09,2019-04-09
1999-12-01,185045,2019-04-09,2019-04-09
2000-01-01,184676,2019-04-09,2019-04-09
2000-02-01,176352,2019-04-09,2019-04-09
2000-03-01,187906,2019-04-09,2019-04-09
2000-04-01,183725,2019-04-09,2019-04-09
2000-05-01,178929,2019-04-09,2019-04-09
2000-06-01,175368,2019-04-09,2019-04-09
2000-07-01,171776,2019-04-09,2019-04-09
2000-08-01,183390,2019-04-09,2019-04-09
2000-09-01,185769,2019-04-09,2019-04-09
2000-10-01,185369,2019-04-09,2019-04-09
2000-11-01,183993,2019-04-09,2019-04-09
2000-12-01,185294,2019-04-09,2019-04-09
2001-01-01,188192,2019-04-09,2019-04-09
2001-02-01,189203,2019-04-09,2019-04-09
2001-03-01,197455,2019-04-09,2019-04-09
2001-04-01,201615,2019-04-09,2019-04-09
2001-05-01,206540,2019-04-09,2019-04-09
2001-06-01,205260,2019-04-09,2019-04-09
2001-07-01,204878,2019-04-09,2019-04-09
2001-08-01,203649,2019-04-09,2019-04-09
2001-09-01,198558,2019-04-09,2019-04-09
2001-10-01,206677,2019-04-09,2019-04-09
2001-11-01,207550,2019-04-09,2019-04-09
2001-12-01,209290,2019-04-09,2019-04-09
2002-01-01,217321,2019-04-09,2019-04-09
2002-02-01,219966,2019-04-09,2019-04-09
2002-03-01,206789,2019-04-09,2019-04-09
2002-04-01,208700,2019-04-09,2019-04-09
2002-05-01,215094,2019-04-09,2019-04-09
2002-06-01,209818,2019-04-09,2019-04-09
2002-07-01,213148,2019-04-09,2019-04-09
2002-08-01,212437,2019-04-09,2019-04-09
2002-09-01,212711,2019-04-09,2019-04-09
2002-10-01,214144,2019-04-09,2019-04-09
2002-11-01,214383,2019-04-09,2019-04-09
2002-12-01,221742,2019-04-09,2019-04-09
2003-01-01,219258,2019-04-09,2019-04-09
2003-02-01,216078,2019-04-09,2019-04-09
2003-03-01,208246,2019-04-09,2019-04-09
2003-04-01,211887,2019-04-09,2019-04-09
2003-05-01,213124,2019-04-09,2019-04-09
2003-06-01,218419,2019-04-09,2019-04-09
2003-07-01,217640,2019-04-09,2019-04-09
2003-08-01,220213,2019-04-09,2019-04-09
